IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
20.163.71.179,443,443,true,SJC,North America,US,San Jose,190,11.19
20.217.216.51,2053,443,true,VIE,Europe,AT,Vienna,420,10.98
4.221.60.243,8443,443,true,JNB,Africa,ZA,Johannesburg,284,10.92
51.140.85.89,8443,443,true,LHR,Europe,GB,London,206,10.89
4.221.60.243,2053,443,true,JNB,Africa,ZA,Johannesburg,282,10.38
20.25.205.37,8443,443,true,ORD,North America,US,Chicago,452,10.26
20.62.202.159,443,443,true,IAD,North America,US,Ashburn,432,10.07
74.249.233.213,443,443,true,ORD,North America,US,Chicago,314,9.36
20.221.32.145,443,443,true,ORD,North America,US,Chicago,249,9.20
20.84.117.28,443,443,true,IAD,North America,US,Ashburn,411,9.12
20.25.205.37,2053,443,true,ORD,North America,US,Chicago,442,9.03
4.255.56.138,443,443,true,IAD,North America,US,Ashburn,295,9.02
40.87.50.39,443,443,true,IAD,North America,US,Ashburn,336,8.96
4.255.56.137,443,443,true,IAD,North America,US,Ashburn,281,8.84
40.123.47.225,8443,443,true,IAD,North America,US,Ashburn,432,8.69
158.23.81.224,2053,443,true,DFW,North America,US,Dallas,303,8.57
158.23.168.120,443,443,true,DFW,North America,US,Dallas,243,8.51
20.36.131.211,443,443,true,IAD,North America,US,Ashburn,518,8.50
13.68.186.91,443,443,true,IAD,North America,US,Ashburn,394,8.39
20.220.29.122,2053,443,true,YYZ,North America,CA,Toronto,509,8.39
40.123.47.252,8443,443,true,IAD,North America,US,Ashburn,419,8.30
20.121.115.188,443,443,true,IAD,North America,US,Ashburn,406,8.25
20.127.201.36,443,443,true,IAD,North America,US,Ashburn,357,8.25
4.172.225.82,8443,443,true,YYZ,North America,CA,Toronto,216,8.23
172.191.74.198,443,443,true,IAD,North America,US,Ashburn,364,8.23
4.206.223.188,8443,443,true,YYZ,North America,CA,Toronto,411,8.23
172.191.132.64,443,443,true,IAD,North America,US,Ashburn,383,8.22
104.210.3.231,8443,443,true,IAD,North America,US,Ashburn,540,8.20
20.228.249.211,8443,443,true,IAD,North America,US,Ashburn,397,8.16
40.123.41.147,8443,443,true,IAD,North America,US,Ashburn,378,8.11
158.23.81.224,8443,443,true,DFW,North America,US,Dallas,359,8.09
20.246.127.166,443,443,true,IAD,North America,US,Ashburn,354,8.07
20.220.29.122,8443,443,true,YYZ,North America,CA,Toronto,521,8.03
4.172.225.98,8443,443,true,YYZ,North America,CA,Toronto,259,8.01
40.123.42.160,8443,443,true,IAD,North America,US,Ashburn,435,7.94
