IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.69.150.180,443,443,true,ORD,North America,US,Chicago,346,8.75
34.69.150.180,443,443,true,ORD,North America,US,Chicago,283,8.62
35.202.158.120,443,443,true,ORD,North America,US,Chicago,208,8.61
35.226.250.3,8443,443,true,ORD,North America,US,Chicago,214,8.61
35.226.250.3,2053,443,true,ORD,North America,US,Chicago,376,8.60
34.105.140.105,443,443,true,LHR,Europe,GB,London,222,8.31
34.89.30.78,443,443,true,LHR,Europe,GB,London,198,8.26
35.246.97.251,443,443,true,LHR,Europe,GB,London,279,8.09
34.123.83.237,443,443,true,ORD,North America,US,Chicago,322,8.08
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,330,7.57
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,445,7.55
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,328,7.52
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,346,7.50
34.90.238.89,443,443,true,AMS,Europe,NL,Amsterdam,298,7.47
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,428,7.43
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,346,7.35
34.88.56.88,443,443,true,FRA,Europe,DE,Frankfurt,366,6.57
34.88.56.88,443,443,true,FRA,Europe,DE,Frankfurt,366,6.55
34.88.56.88,443,443,true,FRA,Europe,DE,Frankfurt,288,6.45
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,282,6.43
34.88.56.88,443,443,true,FRA,Europe,DE,Frankfurt,308,6.42
35.228.36.82,443,443,true,RIX,Europe,LV,Riga,333,5.97
34.105.233.161,443,443,true,LHR,Europe,GB,London,305,5.28
34.147.196.2,443,443,true,LHR,Europe,GB,London,286,5.28
34.89.91.99,443,443,true,LHR,Europe,GB,London,188,5.22
34.147.196.2,443,443,true,LHR,Europe,GB,London,179,5.12
34.105.140.105,443,443,true,LHR,Europe,GB,London,365,4.85
35.197.239.137,443,443,true,LHR,Europe,GB,London,282,4.80
34.105.130.188,443,443,true,LHR,Europe,GB,London,253,4.77
35.244.133.3,80,80,false,SIN,Asia Pacific,SG,Singapore,35,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,66,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,67,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,74,0.00
34.8.231.180,80,80,false,SIN,Asia Pacific,SG,Singapore,76,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,77,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,90,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,103,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,104,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,111,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,113,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,115,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,120,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,130,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,140,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,140,0.00
34.145.104.10,80,80,false,SEA,North America,US,Seattle,158,0.00
35.197.89.213,80,80,false,SEA,North America,US,Seattle,159,0.00
34.82.76.253,80,80,false,SEA,North America,US,Seattle,161,0.00
34.141.221.33,2053,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,IN,Mumbai,162,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.147.101.117,2086,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.248.249,2083,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.221.33,2052,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.221.33,2082,80,false,AMS,Europe,NL,Amsterdam,162,0.00
34.141.248.249,2052,80,false,AMS,Europe,NL,Amsterdam,163,0.00
34.141.221.33,2096,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.141.221.33,2095,80,false,AMS,Europe,NL,Amsterdam,164,0.00
34.147.82.194,2053,80,false,AMS,Europe,NL,Amsterdam,165,0.00
35.247.124.181,80,80,false,SEA,North America,US,Seattle,165,0.00
34.141.221.33,2083,80,false,AMS,Europe,NL,Amsterdam,165,0.00
34.147.101.117,2053,80,false,AMS,Europe,NL,Amsterdam,166,0.00
34.141.221.33,2087,80,false,AMS,Europe,NL,Amsterdam,167,0.00
34.141.248.249,2087,80,false,AMS,Europe,NL,Amsterdam,167,0.00
34.145.104.10,80,80,false,SEA,North America,US,Seattle,168,0.00
34.141.248.249,2096,80,false,AMS,Europe,NL,Amsterdam,171,0.00
34.147.101.117,2087,80,false,SYD,Oceania,AU,Sydney,172,0.00
35.187.41.171,2083,80,false,CDG,Europe,FR,Paris,173,0.00
34.147.101.117,2096,80,false,AMS,Europe,NL,Amsterdam,182,0.00
34.147.101.117,2095,80,false,AMS,Europe,NL,Amsterdam,192,0.00
34.147.101.117,2052,80,false,AMS,Europe,NL,Amsterdam,193,0.00
34.141.248.249,2095,80,false,AMS,Europe,NL,Amsterdam,196,0.00
34.141.221.33,2086,80,false,AMS,Europe,NL,Amsterdam,196,0.00
34.147.101.117,2083,80,false,AMS,Europe,NL,Amsterdam,196,0.00
34.111.103.7,80,80,false,SIN,Asia Pacific,SG,Singapore,206,0.00
34.141.248.249,2053,80,false,AMS,Europe,NL,Amsterdam,207,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,208,0.00
34.48.186.69,80,80,false,IAD,North America,US,Ashburn,213,0.00
35.202.49.74,80,80,false,ORD,North America,US,Chicago,217,0.00
34.48.186.69,80,80,false,IAD,North America,US,Ashburn,219,0.00
34.141.248.249,2086,80,false,AMS,Europe,NL,Amsterdam,220,0.00
35.232.39.116,80,80,false,DFW,North America,US,Dallas,230,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,231,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,232,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,233,0.00
34.74.105.17,80,8080,false,ATL,North America,US,Atlanta,237,0.00
34.141.248.249,2082,80,false,AMS,Europe,NL,Amsterdam,247,0.00
34.44.121.135,8080,80,false,ORD,North America,US,Chicago,248,0.00
34.44.121.135,8080,80,false,ORD,North America,US,Chicago,250,0.00
104.196.221.253,80,80,false,ATL,North America,US,Atlanta,252,0.00
34.82.76.253,443,443,true,SEA,North America,US,Seattle,254,0.00
