IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
20.215.241.164,8443,443,true,WAW,Europe,Warsaw,257,11.55
51.120.121.91,443,443,true,CPH,Europe,Copenhagen,276,11.46
4.219.15.140,8443,443,true,CPH,Europe,Copenhagen,183,11.41
98.71.19.116,443,443,true,DUB,Europe,Dublin,223,11.22
20.217.216.51,2053,443,true,VIE,Europe,Vienna,365,11.16
20.217.216.51,8443,443,true,VIE,Europe,Vienna,274,11.14
20.215.241.164,2053,443,true,WAW,Europe,Warsaw,217,11.12
51.145.238.40,2053,443,true,AMS,Europe,Amsterdam,283,11.09
20.91.225.232,2053,443,true,ARN,Europe,Stockholm,632,11.03
172.214.176.68,2053,443,true,ORD,North America,Chicago,364,10.98
20.240.254.247,8443,443,true,ARN,Europe,Stockholm,336,10.89
172.214.176.68,8443,443,true,ORD,North America,Chicago,323,10.88
4.221.60.243,8443,443,true,JNB,Africa,Johannesburg,213,10.85
20.33.62.19,2083,443,true,LHR,Europe,London,330,10.77
20.163.71.179,443,443,true,SJC,North America,San Jose,181,10.72
4.221.60.243,2053,443,true,JNB,Africa,Johannesburg,206,10.34
74.249.233.213,443,443,true,ORD,North America,Chicago,491,9.65
48.217.34.120,443,443,true,IAD,North America,Ashburn,310,8.95
20.25.205.37,2053,443,true,ORD,North America,Chicago,457,8.84
4.255.56.138,443,443,true,IAD,North America,Ashburn,374,8.75
4.255.56.137,443,443,true,IAD,North America,Ashburn,302,8.74
20.25.205.37,8443,443,true,ORD,North America,Chicago,495,8.47
158.23.81.224,2053,443,true,DFW,North America,Dallas,351,8.44
158.23.81.224,8443,443,true,DFW,North America,Dallas,322,8.43
20.84.117.28,443,443,true,IAD,North America,Ashburn,364,8.33
20.151.60.161,8443,443,true,YYZ,North America,Toronto,298,8.20
20.121.115.188,443,443,true,IAD,North America,Ashburn,472,8.18
20.228.249.211,2053,443,true,IAD,North America,Ashburn,457,8.10
20.220.29.122,2053,443,true,YYZ,North America,Toronto,546,8.04
13.68.186.91,443,443,true,IAD,North America,Ashburn,470,7.97
20.62.202.159,443,443,true,IAD,North America,Ashburn,436,7.85
20.127.201.36,443,443,true,IAD,North America,Ashburn,242,7.74
20.228.249.211,8443,443,true,IAD,North America,Ashburn,345,7.73
20.151.63.165,8443,443,true,YYZ,North America,Toronto,250,7.72
20.36.131.211,443,443,true,IAD,North America,Ashburn,342,7.61
40.79.73.114,8443,443,true,IAD,North America,Ashburn,296,7.40
137.116.91.147,8443,443,true,IAD,North America,Ashburn,338,7.33
20.151.238.192,8443,443,true,YYZ,North America,Toronto,392,7.28
40.123.47.252,8443,443,true,IAD,North America,Ashburn,484,7.12
172.200.2.241,443,443,true,IAD,North America,Ashburn,223,7.00
20.246.127.166,443,443,true,IAD,North America,Ashburn,422,6.87
40.123.41.147,8443,443,true,IAD,North America,Ashburn,412,6.85
4.248.47.209,8443,443,true,YUL,North America,Montréal,229,6.74
4.172.225.82,8443,443,true,YYZ,North America,Toronto,230,6.72
4.172.225.98,8443,443,true,YYZ,North America,Toronto,384,6.58
172.174.249.255,443,443,true,IAD,North America,Ashburn,421,6.55
172.208.44.21,443,443,true,IAD,North America,Ashburn,337,6.42
20.57.85.61,443,443,true,IAD,North America,Ashburn,327,6.39
40.123.42.160,8443,443,true,IAD,North America,Ashburn,318,5.98
40.123.47.225,8443,443,true,IAD,North America,Ashburn,451,5.10
20.74.223.241,8080,443,true,MCI,North America,Kansas City,562,3.96
20.74.223.241,8080,443,true,MCI,North America,Kansas City,603,3.94
191.235.86.71,2053,443,true,GRU,South America,São Paulo,445,3.57
191.235.86.71,8443,443,true,GRU,South America,São Paulo,373,3.55
172.201.76.19,443,443,true,AMS,Europe,Amsterdam,589,0.07
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,130,0.06
137.116.251.154,80,443,false,DUB,Europe,Dublin,182,0.02
52.226.76.91,80,443,false,IAD,North America,Ashburn,222,0.02
13.90.157.110,80,443,false,IAD,North America,Ashburn,281,0.02
20.48.5.180,80,80,false,NRT,Asia Pacific,Tokyo,149,0.00
51.140.191.188,2086,2086,false,LHR,Europe,London,150,0.00
40.66.63.160,80,80,false,CDG,Europe,Paris,151,0.00
51.140.44.206,2086,2086,false,LHR,Europe,London,152,0.00
51.141.162.228,80,80,false,SEA,North America,Seattle,162,0.00
51.143.162.160,80,80,false,LHR,Europe,London,162,0.00
104.40.244.228,80,80,false,AMS,Europe,Amsterdam,164,0.00
172.179.181.196,80,80,false,SEA,North America,Seattle,172,0.00
20.58.24.221,2086,2086,false,LHR,Europe,London,176,0.00
13.95.193.125,80,443,false,AMS,Europe,Amsterdam,195,0.00
51.140.154.44,2086,2086,false,LHR,Europe,London,198,0.00
20.185.230.160,80,80,false,IAD,North America,Ashburn,223,0.00
4.255.56.138,80,80,false,IAD,North America,Ashburn,225,0.00
20.119.73.200,80,80,false,IAD,North America,Ashburn,230,0.00
172.171.174.174,80,80,false,IAD,North America,Ashburn,234,0.00
172.191.74.198,8080,80,false,IAD,North America,Ashburn,234,0.00
172.174.249.255,80,80,false,IAD,North America,Ashburn,249,0.00
4.255.56.137,80,80,false,IAD,North America,Ashburn,250,0.00
51.145.10.26,80,8080,false,LHR,Europe,London,268,0.00
172.174.174.103,80,80,false,IAD,North America,Ashburn,286,0.00
172.171.174.174,443,80,false,IAD,North America,Ashburn,326,0.00
172.174.211.32,80,80,false,IAD,North America,Ashburn,579,0.00
