IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
34.70.91.86,443,443,true,ORD,North America,US,Chicago,290,8.73
34.69.150.180,443,443,true,ORD,North America,US,Chicago,305,8.71
34.69.150.180,443,443,true,ORD,North America,US,Chicago,226,8.69
35.202.158.120,443,443,true,ORD,North America,US,Chicago,241,8.63
34.70.91.86,443,443,true,ORD,North America,US,Chicago,226,8.62
34.55.194.208,443,443,true,ORD,North America,US,Chicago,357,8.62
35.202.158.120,443,443,true,ORD,North America,US,Chicago,324,8.49
34.41.252.92,443,443,true,ORD,North America,US,Chicago,333,8.47
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,447,8.29
34.105.130.188,443,443,true,LHR,Europe,GB,London,290,8.25
35.190.152.145,443,443,true,ATL,North America,US,Atlanta,472,7.91
35.196.72.166,443,443,true,ATL,North America,US,Atlanta,313,7.75
35.204.231.100,443,443,true,AMS,Europe,NL,Amsterdam,384,7.52
34.22.142.117,443,443,true,CDG,Europe,FR,Paris,313,6.97
34.175.202.195,443,443,true,MAD,Europe,ES,Madrid,263,6.47
34.89.91.99,443,443,true,LHR,Europe,GB,London,337,5.88
35.228.36.82,443,443,true,ARN,Europe,SE,Stockholm,388,5.77
34.105.189.25,443,443,true,LHR,Europe,GB,London,323,5.41
34.147.196.2,443,443,true,LHR,Europe,GB,London,319,4.99
34.105.189.25,443,443,true,LHR,Europe,GB,London,309,4.85
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,217,4.70
35.200.238.235,443,443,true,BOM,Asia Pacific,IN,Mumbai,401,1.78
34.160.118.77,80,80,false,SIN,Asia Pacific,SG,Singapore,27,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,SG,Singapore,55,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,61,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,IN,Mumbai,76,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,IN,Mumbai,80,0.00
34.120.230.33,80,80,false,SIN,Asia Pacific,SG,Singapore,90,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,SG,Singapore,100,0.00
34.36.237.86,80,80,false,SIN,Asia Pacific,SG,Singapore,101,0.00
