IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.88.159.154,2052,80,false,ORD,North America,Chicago,211,0.00
35.88.159.154,2086,80,false,ORD,North America,Chicago,216,0.00
34.222.13.3,8880,80,false,ORD,North America,Chicago,198,0.00
35.88.159.154,2082,80,false,ORD,North America,Chicago,202,0.00
34.214.182.217,8880,80,false,ORD,North America,Chicago,197,0.00
35.88.159.154,8443,80,false,ORD,North America,Chicago,202,0.00
35.88.159.154,443,80,false,ORD,North America,Chicago,200,0.00
35.88.159.154,2096,80,false,ORD,North America,Chicago,202,0.00
13.126.235.39,2082,80,false,ORD,North America,Chicago,71,0.00
13.126.235.39,2053,80,false,ORD,North America,Chicago,135,0.00
13.126.235.39,2096,80,false,ORD,North America,Chicago,285,0.00
15.206.179.225,2095,80,false,ORD,North America,Chicago,212,0.00
15.206.179.225,2052,80,false,ORD,North America,Chicago,176,0.00
15.206.179.225,8880,80,false,ORD,North America,Chicago,122,0.00
15.206.179.225,2086,80,false,ORD,North America,Chicago,283,0.00
15.206.179.225,2083,80,false,ORD,North America,Chicago,180,0.00
15.206.179.225,8443,80,false,ORD,North America,Chicago,166,0.00
15.206.179.225,2082,80,false,ORD,North America,Chicago,173,0.00
15.206.179.225,80,80,false,ORD,North America,Chicago,289,0.00
15.206.179.225,443,80,false,ORD,North America,Chicago,180,0.00
15.206.179.225,2087,80,false,ORD,North America,Chicago,164,0.00
13.233.28.21,2086,80,false,ORD,North America,Chicago,75,0.00
13.233.28.21,2096,80,false,ORD,North America,Chicago,151,0.00
13.233.28.21,8880,80,false,ORD,North America,Chicago,148,0.00
13.233.28.21,443,80,false,ORD,North America,Chicago,145,0.00
13.233.28.21,80,80,false,ORD,North America,Chicago,155,0.00
13.233.28.21,2082,80,false,ORD,North America,Chicago,101,0.00
13.233.28.21,2095,80,false,ORD,North America,Chicago,178,0.00
13.233.28.21,2052,80,false,ORD,North America,Chicago,146,0.00
13.233.28.21,8443,80,false,ORD,North America,Chicago,123,0.00
13.233.28.21,2087,80,false,ORD,North America,Chicago,76,0.00
3.8.91.246,2087,80,false,ORD,North America,Chicago,170,0.00
18.175.233.222,2052,80,false,ORD,North America,Chicago,179,0.00
54.184.216.250,443,80,false,ORD,North America,Chicago,199,0.00
13.215.211.239,8080,80,false,SIN,Asia Pacific,Singapore,2,0.00
13.215.80.221,2096,80,false,SIN,Asia Pacific,Singapore,18,0.00
96.0.147.114,443,80,false,MNL,Asia Pacific,Manila,28,0.00
96.0.147.114,80,80,false,MNL,Asia Pacific,Manila,30,0.00
96.0.147.32,80,80,false,MNL,Asia Pacific,Manila,30,0.00
96.0.147.210,80,80,false,MNL,Asia Pacific,Manila,30,0.00
16.162.177.179,2095,80,false,HKG,Asia Pacific,Hong Kong,34,0.00
13.238.235.196,2052,80,false,SYD,Oceania,Sydney,93,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,93,0.00
54.79.10.40,2087,80,false,SYD,Oceania,Sydney,94,0.00
13.238.235.196,2086,80,false,SYD,Oceania,Sydney,94,0.00
13.236.104.165,2052,80,false,SYD,Oceania,Sydney,97,0.00
13.238.235.196,2096,80,false,SYD,Oceania,Sydney,98,0.00
